boil	sick	nappie	rattle	change	glove	sailor	crunch	bow	pasta
break	enjoy	handle	lady	headlight	saw	open	hard	pat	happy_birthday
burn	tap	hurt	cut	poke	cock_a_doodle_doo	pinch	name	finger	lick
change	boil	rub	Kate	into	flag	six	hit	Minnie	thumb
close	curtain	gosh	wake	climb	hooray	listen	asleep	drink	Andy_pandy
finish	Playdays	pants	Tigger	wake	lie	pull	photo	rip	bib
lose	fur	trouser	pie	life	swim	lady	brush	handle	bear
open	door	shut	also	stone	tear	break	lady	cover	end
roll	onto	rein	sun	h	sausage	Barney	e	rattle	frighten
stop	start	Tigger	Janet	pat	peg	Grandpa	upside	happy_birthday	also
turn	bang	fasten	neck	send	along	hurt	drip	bury	tap
