break	near	Harold	bobos	ten	grrr	spill	safe
burn	hot	clear	tire	six	seven	tennis	sad
change	clothes	mind	dress	count	pajamas	toe	wipe
close	ten	rabbit	safe	Harold	hey	Fat_Controller	oooo
fill	lick	wake	clear	circus	sock	hit	tidy
finish	all_gone	feed	poo	nana	near	forget	story
lose	rub_a_dub_dub	Harold	Mickey_Mouse	upset	drop	spade	rabbit
open	clap	hear	catch	shut	count	show	circus
roll	nine	grrr	hungry	ringring	ring	Jess	neck
stop	wow	around	park	night_night	nine	happen	ten
turn	park	slow	page	wrong	around	neck	round
