break	empty	squeeze	home	oooo	grrr	ten	roll	backwards	downstairs
burn	hot	tongue	clear	squeeze	empty	grrr	seven	play	safe
change	nappie	mind	cough	wipe	tower	pajamas	grrr	knickers	hey
close	land	all_gone	hill	spout	mine	potato	bang	rabbit	pull
fill	lick	clear	hill	wake	pick	circus	tidy	wet	clap
finish	feed	nana	all_gone	boing	cheep	poo	suppose	grrr	far
lose	line	scare	rub_a_dub_dub	downstairs	Postman_Pat	cuddle	bucket	poo	upset
open	smudge	hill	safe	grrr	stupid	Bo_bos	ding	mind	clap
roll	lick	flat	tickle	somewhere	smudge	tie	empty	grrr	safe
stop	whoops_a_daisy	safe	uhoh	grrr	ten	wow	click	woofwoofwoof	leave
turn	page	round	around	leave	safe	Bo_bos	zoo	corner	ten
