begin	e	h	Donner	uhhuh	achoo	Comet	wowie	towel	Kevin	Gazza	Sophie	flatten	Mister_Bucket_Head
break	grub	lose	Reverend_Timms	Martin	cheapo	trick	excite	Gazza	wowie	Burt	Toby	Percy	chugchug
burn	grub	shy	Edward	towel	rip	lawn	their	dryer	show	Comet	Santa	satisfy	scare
change	tooth	burp	wipe	dummy	poo	Cornflakes	Sue	hoop	pea	word	Gwendoline	anyway	melt
close	shake	crumble	peg	soggy	joke	engine	duck	stiff	cushion	roundabout	rummage	wicked	onion
dry	reverse	stretch	cook	towel	shaft	Tigger	soon	gentle	Burt	slow	satisfy	none	nothing
fill	shush	sign	cock_a_doodle_doo	feed	oy	please	plate	ease	Bisto	maybe	chat	throat	Debbie
finish	satisfy	tape	clear	d	hoover	semolina	double	speak	none	while	Tots_tv	bother	quick
freeze	tire	garage	cold	satisfy	posh	battery	grub	whisker	accept	splash	Tigger	Reverend_Timms	shiver
kill	goodness	story	cage	Errol	Paddington	bring	tune	shush	cock_a_doodle_doo	star	otherwise	lemon	sign
lose	break	afraid	poo	ribbon	tip	promise	touch	brother	battery	satisfy	picnic	chugchug	whoo
melt	Meg	Gazza	windmill	Aunty	Tigger	towel	Gwendoline	Mister_Bucket_Head	ugh	Martin	achoo	b	Rufford_Park
open	goodness	shout	pour	soak	promise	Gazza	tomorrow	towel	hit	lie	Mister_Bucket_Head	stir	pump
raise	cock_a_doodle_doo	shush	Bisto	Robbie	oy	petrol	creature	there_there	Errol	penguin	Debbie	chat	towel
roll	pea	Spot	shake	particular	bread	upside	dill	Edward	cage	Reverend_Timms	Burt	sign	twist
stop	throat	sign	shush	suppose	ours	Debbie	there_there	pepper	oy	bus	pudding	pump	b
turn	twist	Tigger	bash	towel	Gazza	Shaun	spin	stir	everyone	whoo	giant	Michael	achoo
