begin	e	b	d	deal	h	Reverend_Timms	each_other	s	snake	chest	Tyrannadon	Burt	uhhuh	Zazoo	m
break	bubble	important	screw	eat	rip	beep	Calpol	Pavarotti	Reverend_Timms	collapse	brother	find	curry	pudding	soon
burn	grub	shy	thumb	scoop	Edward	Cromarty	lawn	towards	wind	dryer	Comet	dig	satisfy	Duplo	boob
change	tomorrow	catch	toilet	wish	burp	market	curl	past	ribbon	forget	trolley	wipe	Gwendoline	butter	stop
close	hospital	mask	wicked	soggy	market	shake	crumble	pair	telescope	moo	around	tall	background	peg	joke
dry	wish	stretch	sizzle	shaft	Burt	Tigger	Cromarty	shake	gravy	collapse	broccoli	fortunate	Willy	ugh	tablet
fill	shush	signal	mix	towards	ingredient	frolick	feed	scoop	vegetable	wake	throat	cock_a_doodle_doo	clumsy	chat	crawl
finish	tape	satisfy	abroad	beat	fool	speak	Shearer	dalmatian	spirit	picnic	birth	clap	dot	Glennis	Tots_tv
freeze	comfort	wood	moo	Spop	button	hay	reverse	Paris	Gazza	fortunate	Burt	duckpond	Tigger	grill	sink
kill	ugly	goodness	Donner	farm	moo	celebrate	type	Comet	shake	engine	Bisto	shush	cage	cock_a_doodle_doo	Cromarty
lose	touch	promise	memory	nasty	miss	satisfy	whoo	empty	finish	brummbrumm	panic	Emma	poo	bless	signal
melt	boo	Gazza	stir	dear	ingredient	mieow	Tots_tiny	Schumacher	smash	Tigger	tata	signal	whoo	chugchug	sink
open	map	crumble	gligs	pour	shout	memory	Gazza	stir	stitch	goodness	promise	satisfy	trap	brummbrumm	door
raise	shush	cock_a_doodle_doo	Robbie	gallop	Zazoo	there_there	fortunate	whatchamacallit	Errol	Debbie	trap	beddy_byes	chat	Tyrannasaurus_rex	button
roll	Spot	shake	particular	dill	Edward	cage	confuse	Reverend_Timms	Burt	twist	dad	pickle	comfort	sizzle	Chuckie
sink	stir	boo	dear	Tots_tiny	whoo	err	dalmatian	chugchug	mieow	Angelica	gosh	wowie	tata	balloon	bless
stop	throat	person	wash	change	bus	least	camera	left	shut	pudding	grill	hay	u	Debbie	fix
turn	twist	pour	bend	board	crumble	Tigger	everyone	upside	wipe	bite	spin	passenger	slow	satisfy	fool
