break	tear	matter	quite	true	tall	already	all_gone	relax	Nana
change	guard	snake	ride	newspaper	plant	save	brother	slave	mama
close	pocket	poke	twin	mouth	pear	tooth	cycle	bow	care
dry	happy	wipe	Pat	lift	knot	wear	fight	relax	happy_birthday
finish	help	brush	breakfast	off	injury	tear	play	tall	favorite
lose	building	frighten	blow	wear	brumm	shoulder	crown	hiya	booboo
open	anymore	pear	anything	Peter_rabbit	trip	ah	yoghurt	anyway	boss
roll	pin	clock	hippo	elbow	Bobby	bird	princess	towel	relax
stop	pick	being	out_of	walk	breakfast	sorry	scribble	shout	Nana
turn	round	sweet	tape	way	garden	tough	once	lid	oh_my_goodness
