name	age	causative	random	percentile
Anne	24	2.0	0.850375	0.994
Anne	25	2.2222222222222223	1.0802222222222235	0.994
Anne	26	2.272727272727273	1.4388181818181822	0.9490000000000001
Anne	27	2.5	1.147099999999999	0.997
Anne	28	2.1818181818181817	1.4202727272727278	0.926
Anne	29	1.3333333333333333	1.047000000000001	0.773
Anne	30	2.111111111111111	1.211777777777778	0.9530000000000001
Anne	31	1.5833333333333333	1.496916666666667	0.5720000000000001
Anne	32	1.6666666666666667	1.5479166666666668	0.586
Anne	33	2.5833333333333335	1.782416666666665	0.967
Aran	25	1.8888888888888888	1.0592222222222232	0.9600000000000001
Aran	26	2.5454545454545454	1.4506363636363633	0.996
Aran	27	2.7142857142857144	2.0330714285714313	0.968
Aran	28	2.6153846153846154	1.9121538461538485	0.9570000000000001
Aran	29	2.4615384615384617	1.994461538461543	0.845
Aran	30	2.75	1.700666666666667	0.996
Aran	31	3.066666666666667	2.4319333333333333	0.974
Aran	32	3.533333333333333	2.455133333333329	0.998
Aran	33	3.1333333333333333	2.4232666666666667	0.98
Aran	34	1.9166666666666667	2.0528333333333344	0.389
Aran	35	2.3333333333333335	1.8585000000000012	0.835
Becky	26	1.7777777777777777	0.9730000000000002	0.9510000000000001
Becky	27	2.3636363636363638	1.057636363636365	0.998
Becky	28	1.8181818181818181	1.0300909090909105	0.9470000000000001
Becky	29	2.4166666666666665	1.2404999999999995	0.993
Becky	30	1.8181818181818181	0.9599090909090918	0.961
Becky	31	2.2857142857142856	0.8058571428571409	0.999
Becky	32	2.0	0.688285714285714	1.0
Becky	33	2.1666666666666665	0.7641666666666663	0.998
Becky	34	1.8571428571428572	0.7654285714285705	0.993
Becky	35	1.3333333333333333	0.900333333333336	0.863
Carl	23	1.7272727272727273	0.8602727272727287	0.986
Carl	24	1.8	0.788	0.986
Carl	25	1.1	0.8067999999999992	0.8240000000000001
Carl	26	1.0	0.7823333333333354	0.802
Carl	27	1.0	0.71475	0.855
Carl	28	2.6	0.999900000000001	1.0
Carl	29	1.7272727272727273	0.8754545454545465	0.982
Carl	30	2.125	0.774625	0.997
Carl	31	0.8888888888888888	0.6527777777777773	0.855
Carl	32	1.1111111111111112	0.7864444444444455	0.843
Dominic	25	2.1818181818181817	1.0257272727272737	0.997
Dominic	26	2.5454545454545454	1.0070909090909097	0.999
Dominic	27	2.3	0.9684999999999997	0.999
Dominic	28	2.5	0.963700000000001	0.999
Dominic	29	2.4545454545454546	1.201181818181819	0.996
Dominic	30	1.5	1.3749166666666666	0.613
Dominic	31	2.5454545454545454	1.2340909090909116	0.997
Dominic	32	1.7	0.9730000000000004	0.928
Dominic	33	1.1	1.0120999999999998	0.64
Dominic	34	1.1	0.9904000000000007	0.672
Dominic	35	2.3333333333333335	0.9513333333333327	0.999
Gail	26	1.1818181818181819	1.2367272727272742	0.56
Gail	27	2.0	1.594166666666666	0.755
Gail	28	2.4615384615384617	1.387846153846152	0.985
Gail	29	2.3636363636363638	1.2784545454545473	0.98
Gail	30	2.0	0.9104444444444473	0.986
Gail	31	2.4	1.1161000000000003	0.994
Gail	32	2.230769230769231	1.708923076923079	0.8260000000000001
Gail	33	2.230769230769231	1.434999999999997	0.9450000000000001
Gail	34	2.4166666666666665	1.4236666666666682	0.984
Gail	35	2.7142857142857144	1.6075714285714275	0.998
Joel	25	1.8	1.187399999999998	0.893
Joel	26	2.0	1.305900000000001	0.893
Joel	27	1.9090909090909092	1.1780909090909115	0.918
Joel	28	2.5454545454545454	1.3309090909090915	0.992
Joel	29	1.7333333333333334	1.8958666666666653	0.377
Joel	30	2.3333333333333335	1.6450666666666676	0.927
Joel	31	2.588235294117647	2.019	0.909
Joel	32	2.7777777777777777	2.109333333333332	0.9570000000000001
Joel	33	2.7142857142857144	1.900642857142857	0.9440000000000001
Joel	34	2.5384615384615383	1.5887692307692287	0.977
John	25	1.5555555555555556	0.7770000000000004	0.969
John	26	1.4444444444444444	0.9265555555555561	0.906
John	27	1.25	0.880625	0.836
John	28	1.75	1.0539999999999996	0.927
John	29	1.7	0.9040000000000005	0.9580000000000001
John	30	1.9166666666666667	1.0124166666666674	0.975
John	31	1.3636363636363635	0.9476363636363654	0.85
John	32	1.6363636363636365	0.9768181818181843	0.922
John	33	2.3636363636363638	1.1472727272727294	0.994
John	34	2.25	1.1646666666666683	0.993
John	35	1.7692307692307692	1.4271538461538458	0.743
Liz	25	1.0	0.674499999999999	0.864
Liz	26	0.8	0.9925999999999998	0.438
Liz	27	1.9090909090909092	1.059636363636366	0.9580000000000001
Liz	28	1.4	0.8966999999999996	0.899
Liz	29	2.1	1.0729000000000009	0.985
Liz	30	1.8	0.9205000000000004	0.965
Liz	31	1.4444444444444444	0.8786666666666677	0.913
Liz	32	1.2222222222222223	0.6998888888888894	0.935
Liz	33	1.6	0.7842999999999991	0.976
Liz	34	1.5454545454545454	0.7961818181818185	0.965
Liz	35	1.0	0.589375	0.92
Nicole	27	2.1	1.1105999999999991	0.974
Nicole	28	2.3	1.0828000000000018	0.995
Nicole	29	2.6666666666666665	1.4684999999999988	0.996
Nicole	30	2.25	1.4645833333333322	0.933
Nicole	31	2.8666666666666667	1.9728000000000026	0.981
Nicole	32	2.5384615384615383	1.5872307692307681	0.985
Nicole	33	2.6	2.022133333333332	0.918
Nicole	34	2.076923076923077	1.5093846153846147	0.858
Nicole	35	2.466666666666667	1.7294000000000012	0.966
Nicole	36	2.411764705882353	2.048529411764704	0.811
Ruth	25	1.2222222222222223	0.7897777777777786	0.882
Ruth	26	1.4	0.9808000000000006	0.858
Ruth	27	0.4444444444444444	0.8983333333333343	0.151
Ruth	28	2.4	1.1911000000000014	0.994
Ruth	29	2.090909090909091	1.0452727272727285	0.991
Ruth	30	1.8	1.173800000000002	0.889
Ruth	31	1.8181818181818181	1.2020000000000024	0.884
Ruth	32	1.9	1.113599999999999	0.9480000000000001
Ruth	33	2.25	1.3073333333333335	0.979
Ruth	34	2.9166666666666665	1.5062500000000014	0.999
Ruth	35	2.3333333333333335	1.3110833333333334	0.989
Ruth	36	2.3	0.9087	1.0
Warren	24	0.7142857142857143	0.825142857142857	0.537
Warren	25	1.5	1.0768	0.808
Warren	26	2.4166666666666665	1.4581666666666666	0.983
Warren	27	2.4285714285714284	1.6550000000000018	0.967
Warren	28	2.2142857142857144	1.70457142857143	0.862
Warren	29	2.076923076923077	1.537999999999998	0.862
Warren	30	2.076923076923077	1.5662307692307709	0.854
Warren	31	2.3333333333333335	1.5530833333333331	0.9460000000000001
Warren	32	2.1538461538461537	1.6126923076923063	0.872
Warren	33	2.4166666666666665	1.137500000000001	0.999
Warren	34	1.8181818181818181	1.1371818181818194	0.91
