break	rip	Tiny_Tears	zoo	bib	brumm	Charlie_Chalk	alright	fourteen	twinkle	cluck
burn	Charlie_Chalk	happy_birthday	night_night	twinkle	zoo	cloth	ab	aye	cluck	taptap
close	e	f	eskimo	d	granny	lettuce	c	merry	dub	diddle
dry	dark	stroke	happy_birthday	Baa_baa_black_sheep	gorgeous	cloth	run	ab	night_night	burn
finish	bless	lunch	hold	burn	cluck	all_gone	puzzle	gallop	hiya	aye
lose	tail	hungry	close	shake	granny	merry	rattle	sunglass	cloth	f
open	shut	seesaw	yep	brumm	pompom	row	Heidi	goodbye	stream	Daw
roll	row	kettle	cluck	shut	Margery	nothing	climb	sky	taptap	goodbye
sink	carrier	pup	cycle	bow	berry	ab	mini	cloth	sunglass	happy_birthday
stop	aye	bun	well_done	peck	burn	blue	pardon	thanks	granny	hot
turn	pompom	ringring	stream	brumm	err	quackquack	row	pull	wrong	twinkle
