break	drop	squash	build	pat	stroke	stop	call
burn	phone	skirt	rest	milk	roll	umbrella	ouch
change	pram	ski	pocket	face	penny	star	already
dry	err	horn	whoopsie	uhoh	library	sweet	upstairs
finish	drop	odd	tunnel	always	sandwich	break	choochoo
lose	bump	roll	line	burn	building	click	Chef
open	read	shut	crash	drive	stop	pat	hug
roll	phone	backwards	beside	track	France	Christmas	fence
stop	Kathy	Kathy_Lewis	sticker	trump	flower	upstairs	library
turn	round	watch	wall	line	track	phone	fence
