break	prize	pat	sticky	build	odd	spoil	click	squeeze	okay
burn	phone	rest	umbrella	sticker	radish	guard	squishy	pay	Kathy_Lewis
change	pram	ski	pocket	penny	already	hook	phone	umbrella	radish
close	eye	measure	whistle	scarf	picnic	basket	whack	phone	Tippy_Turtle
dry	piglet	Big_Ears	kite	beard	pear	pony	rhino	moo	salt
finish	chicken	upstairs	awake	or	video	dead	Kathy	library	Supernaturals
lose	line	Little	upside	Cruella	Pingu	building	odd	Minnie_Mouse	knob
open	read	pat	sandwich	choochoo	hold	Kathy_Lewis	Supernaturals	sweet	upstairs
roll	zip	wrap	pedal	phone	Christmas	rest	burn	Jo	Pingu
stop	Kathy_Lewis	trump	sticker	rest	William	choochoo	umbrella	wet	radish
turn	pedal	which	neck	phone	watch	wrap	knob	Pingu	read
