break	Richard	touch	read	Weetabix	drum	cut	stone
change	nappie	pound	merry	fourteen	around	oy	ho
close	color	quite	Sally	piano	read	curtain	shot
dry	finish	wash	work	pond	reach	whisper	zebra
finish	clean	dry	zebra	coffee	Weetabix	cockadoodle	reach
kill	whoosh	ply	pound	around	merry	row	ho
lose	cry	pear	guitar	stool	knickers	fiddle	read
open	finish	read	shut	zebra	your	dry	upstairs
roll	snow	nod	biup	aga	fiddle	oink	knickers
stop	Richard	clean	Weetabix	stone	quiet	read	dark
turn	sleep	read	mean	dance	peep	slip	together
