break	blow	figure	peel	find	help	rub	stop
change	whoops_a_daisy	dark	pull	Tank	birth	dummy	chuck
close	hurt	open	dark	figure	throw	blow	dry
dry	rain	Splendid	cupboard	trolley	kitchen	grass	Winnie_Pooh
finish	Fireman_Sam	building	clever	Morris	name	help	dummy
open	pup	who	fix	ladybird	stone	close	figure
roll	ripe	rock	pick	stone	bread	could	figure
sink	body	swing	turtle	achoo	magic	squirrel	Pooh
stop	dark	building	altogether	figure	peel	rub	was
turn	triangle	finger	clever	birth	ear	dummy	gree
