break	figure	peel	throw	blow	press	building	wave	Alice
change	tellie	lollipop	Tots	dummy	Tank	parcel	tank	Morris
close	open	hurt	figure	dry	peel	pick	pajamas	nod
dry	Splendid	cupboard	trolley	Winnie_Pooh	seat	blanket	pup	Jess
finish	Morris	witch	clever	dummy	stroke	Simple_Simon	parcel	lollipop
open	close	pup	figure	by	cupboard	wave	heavy	peel
roll	Cat_bird	fall	rain	hand	Jess	toilet	See_saw_marjorie_daw	scarf
sink	body	turtle	achoo	magic	squirrel	Pooh	Ring_a_roses	cushion
stop	was	hooray	whoo	altogether	okay	uhoh	wave	Harold
turn	outside	finger	circle	clever	use	dummy	touch	parcel
