break	Alice	figure	Harold	sss	bot	ready	peel	excuse	twin
change	lollipop	Tots	dummy	Tank	parcel	tank	Morris	junk	Pooh
close	open	figure	peel	sun	throw	stone	control	stroke	junk
dry	bad	ticktock	pill	bill	fine	front	See_saw_marjorie_daw	uhoh	chuck
finish	witch	Morris	parcel	dummy	clever	food	help	full	blow
open	close	cupboard	pup	whoosh	maybe	pence	tweettweet	i	figure
roll	control	Pooh	Kangaroo	Froggie	king	junk	magic	squirrel	See_saw_marjorie_daw
sink	body	turtle	achoo	magic	squirrel	Pooh	Froggie	junk	control
stop	whoo	grr	hooray	awake	mieow	uhoh	whoosh	Baa_Baa_Black_Sheep	hello
turn	outside	dummy	Morris	summer	parcel	hat	trolley	stroke	Kate
