name	age	causative	random	percentile
Anne	23	2.6666666666666665	0.0	0.892
Anne	24	0.6666666666666666	1.8333333333333333	0.1778
Anne	25	3.3333333333333335	1.8333333333333333	0.8702
Anne	26	3.0	1.6666666666666667	0.8816
Anne	27	0.4	1.2	0.23060000000000003
Anne	28	1.7142857142857142	1.5714285714285714	0.6052
Anne	29	3.2222222222222223	2.3333333333333335	0.7994
Anne	30	2.2	0.8	0.9362
Anne	31	0.5	2.375	0.016
Anne	32	3.111111111111111	3.0	0.545
Anne	33	3.8333333333333335	1.8333333333333333	0.9458
Aran	24	0.0	0.0	0.8698
Aran	25	1.25	0.5	0.7002
Aran	26	0.8333333333333334	1.0	0.4078
Aran	27	1.3333333333333333	1.5	0.478
Aran	28	1.5	1.0	0.744
Aran	29	0.0	0.75	0.24880000000000002
Aran	30	1.8571428571428572	1.5714285714285714	0.6446000000000001
Aran	31	1.8888888888888888	2.111111111111111	0.4088
Aran	32	2.25	2.0	0.6168
Aran	33	2.6666666666666665	1.8333333333333333	0.7482
Aran	34	2.625	2.375	0.6396000000000001
Aran	35	1.4	1.4	0.5002
Becky	25	0.0	1.0	0.3014
Becky	26	1.8333333333333333	1.1666666666666667	0.8026
Becky	27	2.75	2.5	0.5996
Becky	28	5.222222222222222	3.111111111111111	0.9856
Becky	29	5.222222222222222	2.888888888888889	0.9878
Becky	30	3.1666666666666665	2.0	0.8352
Becky	31	0.8333333333333334	1.6666666666666667	0.1998
Becky	32	1.3333333333333333	1.6666666666666667	0.4072
Becky	33	1.4285714285714286	2.0	0.3324
Becky	34	3.625	2.5	0.8526
Becky	35	3.75	2.75	0.8332
Carl	22	1.1666666666666667	0.8333333333333334	0.7046
Carl	23	1.0	1.2	0.446
Carl	24	3.4	1.2	0.9692000000000001
Carl	25	1.3333333333333333	0.0	0.84
Carl	26	1.5	1.5	0.5272
Carl	27	4.5	1.6666666666666667	0.9874
Carl	28	3.7142857142857144	2.0	0.9286
Carl	29	2.625	2.0	0.7462
Carl	30	3.0	2.0	0.8210000000000001
Carl	31	3.2857142857142856	1.8571428571428572	0.9276
Carl	32	3.75	2.125	0.9538
Dominic	24	0.0	0.25	0.4776
Dominic	25	0.2	0.8	0.2726
Dominic	26	1.5714285714285714	0.8571428571428571	0.8574
Dominic	27	2.75	1.375	0.913
Dominic	28	3.1666666666666665	1.3333333333333333	0.9540000000000001
Dominic	29	1.1666666666666667	1.6666666666666667	0.3146
Dominic	30	2.142857142857143	1.7142857142857142	0.6782
Dominic	31	2.4	1.2	0.8488
Dominic	32	1.2	1.4	0.4828
Dominic	33	3.0	1.0	0.9644
Dominic	34	1.3333333333333333	0.6666666666666666	0.8074
Dominic	35	2.6666666666666665	0.6666666666666666	0.9674
Gail	25	2.5	2.375	0.574
Gail	26	2.5	2.875	0.4106
Gail	27	3.4285714285714284	1.7142857142857142	0.9132
Gail	28	3.5	1.8333333333333333	0.9362
Gail	29	0.8	1.2	0.3836
Gail	30	1.3333333333333333	1.1666666666666667	0.6218
Gail	31	2.8333333333333335	1.8333333333333333	0.8224
Gail	32	3.5	2.625	0.7828
Gail	33	2.75	1.75	0.8446
Gail	34	1.5714285714285714	1.4285714285714286	0.5914
Gail	35	1.7142857142857142	1.7142857142857142	0.534
Joel	24	0.0	0.0	1.0
Joel	25	0.0	0.0	0.798
Joel	26	3.5	1.8333333333333333	0.8724000000000001
Joel	27	3.0	1.6666666666666667	0.8566
Joel	28	0.75	0.5	0.643
Joel	29	1.7142857142857142	1.5714285714285714	0.5640000000000001
Joel	30	3.4285714285714284	2.0	0.877
Joel	31	2.7142857142857144	2.142857142857143	0.6856
Joel	32	3.7142857142857144	2.2857142857142856	0.8244
Joel	33	3.888888888888889	3.0	0.7716000000000001
Joel	34	1.7142857142857142	2.142857142857143	0.3686
John	24	0.0	0.0	0.8368
John	25	0.0	0.0	0.6174000000000001
John	26	1.75	0.5	0.8528
John	27	3.5	1.0	0.9974000000000001
John	28	2.142857142857143	1.5714285714285714	0.7626000000000001
John	29	2.0	1.4285714285714286	0.7548
John	30	0.4	0.8	0.3082
John	31	1.0	1.0	0.5654
John	32	3.142857142857143	1.4285714285714286	0.9646
John	33	5.285714285714286	1.5714285714285714	0.9996
John	34	3.5714285714285716	1.4285714285714286	0.9912
John	35	1.5	0.5	0.7892
Liz	24	0.6666666666666666	0.0	0.8144
Liz	25	1.3333333333333333	1.1666666666666667	0.5776
Liz	26	2.142857142857143	1.5714285714285714	0.7274
Liz	27	2.857142857142857	1.8571428571428572	0.848
Liz	28	4.0	1.5	0.986
Liz	29	0.8	1.0	0.4932
Liz	30	0.6666666666666666	1.3333333333333333	0.23740000000000003
Liz	31	0.6	1.2	0.26039999999999996
Liz	32	2.6	1.4	0.8626
Liz	33	2.4285714285714284	1.8571428571428572	0.6928
Liz	34	0.4	1.2	0.24320000000000003
Liz	35	1.2	1.0	0.6126
Nicole	26	0	0.0	1.0
Nicole	27	0.0	0.0	1.0
Nicole	28	2.75	0.75	0.9768
Nicole	29	1.5	1.5	0.6278
Nicole	30	2.6	1.2	0.9172
Nicole	31	2.142857142857143	2.142857142857143	0.5356
Nicole	32	0.5714285714285714	1.8571428571428572	0.0878
Nicole	33	1.0	1.0	0.5124
Nicole	34	3.0	1.5714285714285714	0.93
Nicole	35	3.0	1.3333333333333333	0.9492
Nicole	36	4.3	2.9	0.9214
Ruth	24	0	0.0	1.0
Ruth	25	0	0.0	1.0
Ruth	26	0.0	0.0	1.0
Ruth	27	0.0	0.0	1.0
Ruth	28	0.0	0.0	1.0
Ruth	29	0.0	0.0	1.0
Ruth	30	0.0	0.0	0.7836
Ruth	31	0.0	0.0	0.7806
Ruth	32	2.0	0.0	0.9774
Ruth	33	0.0	0.6666666666666666	0.4448
Ruth	34	0.0	0.6666666666666666	0.3856
Ruth	35	1.6666666666666667	1.1666666666666667	0.7474000000000001
Ruth	36	3.375	1.125	0.9976
Warren	23	0.0	0.0	1.0
Warren	24	2.2	1.0	0.912
Warren	25	1.7142857142857142	1.4285714285714286	0.6142
Warren	26	1.0	1.3333333333333333	0.3774
Warren	27	1.6	1.2	0.6988
Warren	28	2.5714285714285716	1.7142857142857142	0.7754
Warren	29	3.4285714285714284	1.8571428571428572	0.9356
Warren	30	1.0	1.5714285714285714	0.27699999999999997
Warren	31	4.111111111111111	3.111111111111111	0.858
Warren	32	5.111111111111111	2.7777777777777777	0.9906
Warren	33	2.857142857142857	1.4285714285714286	0.931
Warren	34	3.0	1.5	0.9228000000000001
