wake	full	dress	tie	climb	err	stand	flush
soap	kick	room	oven	pup	shirt	dot	pot
Clever_Cat	shirt	doesn't	crab	violin	matter	Pooh_Bear	cry
their	our	lot	bowl	short	lose	roll	a_lot_of
straight	light	biscuit	curl	pudding	drink	heavy	dinner
feed	knock	dry	home	pudding	pass	help	wipe
drawing	heavy	hay	east	got	such	bake	food
umbrella	trouser	breakfast	comb	pen	plaster	sandwich	pram
this	Letter_Land	which	purpose	these	caterpillar	spider	stand
chair	manger	doll	pram	seat	Ellie	sock	book
leave	soon	talk	finish	watch	lie	tidy	give
