hide	later	Mister_badger	hit	bury	try	with	ad
foot	hurt	screw	phone	mouth	happen	pot	medicine
circus	is	runaway	onion	love	ground	Mister_toad	definite
dangerous	crowd	forget	lots_of	terrible	don't	chick	dead
horn	tin	rest	Mickey_Mouse	sand	body	sweater	spout
sweet	ice	bean	food	cake	sand	onion	us
nuts	body	kitchen	museum	zigzag	stout	plough	alive
ground	tree	kitchen	lock	letter	summer	road	bottom
giraffe	star	chick	lion	bed	bulldoze	great	ghost
right	hm	whoo	okay	www	choo	ssh	pardon
get	are	sand	pile	boil	Mickey_Mouse	Mister	drink
