cake	night	side	bottom	tall	arm	pear	probable
move	sing	anyway	straighten	fix	anywhere	stand	pinch
parrot	oh_goodness	ouch	mm	whee	honest	hm	hello
because	finish	Caroline	bad	mine	whether	straighten	definite
big	little	chicken	food	tall	lamb	sound	ease
yeah	thank_you	pardon	mhm	www	eh	okay	whoops
ball	door	beaker	find	never	load	shop	forget
miss	either	nothing	word	face	act	five	tire
white	silver	squeak	police	pink	red	trouser	green
animal	floor	them	monkey	throw	everything	middle	him
