do	learn	kiss	pay	forget	ought	balance	wee
coffee	follow	argue	finish	afternoon	tape	daddy	mess
squash	dry	turn	away	tip	over	lose	break
it	him	gentle	flower	everything	hard	orange	fill
side	heavy	paper	blue	tap	much	than	Lauren
special	spout	by	sock	kettle	tip	purple	same
much	smell	paper	actual	dark	orange	duck	Lauren
shame	duck	sun	starfish	mess	sea	orange	fishing
toy	milk	middle	freeze	mouth	ball	attic	soap
whale	suitcase	tellie	bottom	floor	attic	outside	both
sort	week	fruit	every	hedge	song	pajamas	whee
nothing	mess	duck	Abigail	ahoy	pasta	uhhum	fishing
