break	otherwise	shut	fit	work	fill	found	wet
close	petal	freeze	hurry	dry	move	tip	fill
dry	count	wake	lose	send	slide	squash	freeze
fill	shut	break	purse	otherwise	ring	freeze	start
finish	after	argue	tomorrow	tape	afternoon	warm	coffee
freeze	send	attic	middle	space	suitcase	bubble	petal
lose	dry	count	pretend	tablet	purse	squash	wake
open	roll	morning	wake	hurry	warm	wipe	move
roll	open	tablet	sit	wet	drag	pick	hurry
stop	soon	lie	slip	break	turn	through	fit
teach	ask	never	Mummy	remember	work	ow	wait
turn	slide	squash	break	dry	lift	send	itch
